KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
363,799.0,2,3,1,2,2.0,2,3,2,6,7,3,3
361,639.0,2,3,1,1,0.0,3,3,2,3,3,2,2
578,638.0,2,2,1,1,0.0,3,1,2,3,1,2,5
578,638.0,2,2,1,19,0.0,1,3,1,3,3,1,2
578,638.0,2,2,1,18,0.0,3,5,1,3,5,1,3
344,101.0,2,3,3,8,0.0,2,1,2,2,1,1,1
361,639.0,2,3,1,6,0.0,2,4,1,2,4,2,4
341,333.0,2,3,1,9,0.0,2,1,2,6,7,4,5
351,254.0,2,3,1,8,0.0,6,7,3,3,2,1,2
109,438.0,2,1,3,14,0.0,6,5,1,6,7,4,1
578,637.0,2,2,1,6,0.0,3,4,1,3,4,1,4
106,109.0,2,1,1,22,0.0,6,3,1,4,2,2,3
351,259.0,2,3,3,2,2.0,3,3,1,3,3,1,2
232,490.0,2,3,3,8,0.0,2,3,1,6,7,3,2
341,353.0,2,3,3,1,0.0,4,3,1,2,2,2,2
341,333.0,2,3,1,16,0.0,6,7,3,6,7,4,4
109,421.0,2,1,3,8,0.0,6,7,3,4,7,1,3
358,705.0,2,3,3,8,0.0,4,2,1,6,7,3,2
341,352.0,2,3,3,1,0.0,6,7,2,3,3,1,4
578,637.0,2,2,1,6,0.0,4,1,2,1,2,1,5
235,567.0,2,3,2,8,0.0,4,1,1,6,7,3,1
344,114.0,2,3,1,6,0.0,2,3,1,3,3,1,2
578,637.0,2,2,1,2,2.0,2,3,2,3,7,1,3
341,333.0,1,3,1,17,0.0,3,3,1,6,7,4,3
126,760.0,2,1,3,8,0.0,3,3,1,6,7,3,4
361,639.0,2,3,1,1,0.0,3,4,1,3,4,1,4
341,339.0,1,3,3,8,0.0,6,1,1,4,4,2,2
341,338.0,2,3,1,19,0.0,6,7,3,1,3,2,3
578,638.0,2,2,3,8,0.0,3,3,1,3,3,1,4
578,638.0,2,2,3,6,0.0,3,3,1,3,4,1,1
341,338.0,2,3,1,16,0.0,6,7,1,6,7,4,4
341,333.0,2,3,1,35,0.0,6,3,3,6,7,4,2
353,462.0,2,3,3,1,0.0,4,3,3,4,3,2,2
344,113.0,2,3,3,8,0.0,6,7,1,3,2,2,2
578,637.0,2,2,1,1,0.0,3,3,1,3,3,2,2
578,637.0,2,2,1,2,2.0,2,3,1,2,3,1,2
351,259.0,2,3,1,6,0.0,3,1,2,4,1,2,1
344,101.0,2,3,3,8,0.0,3,3,1,3,3,1,2
578,638.0,2,2,1,25,0.0,3,1,2,3,1,2,3
578,637.0,2,2,1,1,0.0,3,3,1,3,3,1,1
118,793.0,2,1,3,2,2.0,2,3,1,6,7,3,3
344,101.0,2,3,1,1,0.0,2,3,2,4,3,1,3
106,109.0,2,1,3,8,0.0,3,2,1,3,2,2,2
233,175.0,2,3,1,1,0.0,1,1,1,1,1,1,3
578,638.0,2,2,1,1,0.0,4,2,1,4,2,1,4
106,105.0,2,1,1,6,0.0,2,3,1,4,2,1,1
126,198.0,2,1,1,15,0.0,4,7,1,4,2,1,2
578,638.0,2,2,1,1,0.0,3,2,2,3,2,2,3
578,638.0,2,2,1,1,0.0,3,1,2,3,1,2,3
118,793.0,2,1,3,8,0.0,3,3,1,6,7,3,4
344,101.0,2,3,1,1,0.0,3,3,2,3,3,1,1
344,101.0,2,3,1,1,0.0,4,3,1,4,3,1,1
359,748.0,2,3,1,2,2.0,3,3,1,3,7,1,1
578,638.0,2,2,3,8,0.0,3,3,1,4,3,1,2
235,569.0,2,3,3,8,0.0,3,1,1,6,7,3,3
578,637.0,2,2,1,6,0.0,3,1,1,3,1,1,5
344,113.0,2,3,1,1,0.0,3,3,1,2,3,1,2
105,389.0,2,1,1,2,2.0,3,3,1,3,3,1,1
344,101.0,2,3,1,1,0.0,3,1,1,3,1,1,1
344,113.0,2,3,3,25,0.0,6,5,1,3,1,2,4
117,501.0,2,1,2,2,2.0,2,1,1,6,7,3,3
578,638.0,2,2,1,6,0.0,2,2,1,4,2,2,2
344,101.0,2,3,1,1,0.0,1,3,1,3,3,1,4
344,113.0,2,3,1,1,0.0,1,1,1,2,1,1,2
578,637.0,2,2,3,14,0.0,6,7,3,3,5,1,3
578,638.0,2,2,1,1,0.0,1,3,2,1,2,1,3
344,101.0,2,3,3,1,0.0,4,3,1,4,3,1,2
348,916.0,2,3,3,8,0.0,6,7,3,3,1,1,4
359,749.0,2,3,1,1,0.0,3,1,1,4,2,2,1
351,259.0,2,3,1,1,0.0,6,7,3,4,3,1,1
361,639.0,2,3,1,1,0.0,3,1,2,3,1,2,2
578,637.0,2,2,1,1,0.0,3,1,1,2,1,1,4
109,405.0,2,1,1,17,11.0,2,7,1,4,2,1,4
352,205.0,2,3,3,6,0.0,1,3,2,1,3,1,4
361,639.0,2,3,1,1,0.0,2,1,2,2,2,1,1
578,638.0,2,2,1,4,0.0,3,3,2,5,2,2,4
109,433.0,2,1,1,31,0.0,6,7,3,6,7,4,3
344,101.0,2,3,1,1,0.0,3,1,2,2,1,2,1
341,338.0,2,3,1,6,0.0,2,3,3,3,3,1,2
361,639.0,2,3,3,2,2.0,3,7,2,3,7,2,4
105,397.0,2,1,3,8,0.0,6,3,1,4,1,2,2
344,101.0,2,3,3,3,0.0,3,2,1,3,2,1,5
126,198.0,2,1,3,8,0.0,3,2,1,3,1,1,4
578,638.0,2,2,3,6,0.0,1,7,1,4,3,2,2
578,637.0,2,2,1,2,2.0,3,3,3,2,3,1,3
104,157.0,2,1,1,11,0.0,3,3,1,2,3,1,2
578,638.0,2,2,3,11,0.0,3,1,1,3,2,1,3
341,321.0,2,3,2,8,0.0,6,7,3,3,7,2,2
104,155.0,2,1,1,2,2.0,3,1,1,1,1,1,2
578,638.0,2,2,3,1,0.0,3,3,1,2,1,1,1
341,333.0,2,3,1,16,0.0,6,3,1,6,7,4,4
578,638.0,2,2,1,6,0.0,4,2,1,4,2,1,5
341,338.0,2,3,1,22,0.0,6,3,1,5,3,1,3
578,637.0,2,2,3,8,0.0,6,3,1,2,3,1,2
578,637.0,2,2,1,1,0.0,2,3,1,2,3,1,2
106,105.0,2,1,1,1,0.0,3,3,1,3,7,1,1
344,101.0,2,3,1,6,0.0,4,1,1,3,7,1,4
578,637.0,2,2,1,6,0.0,4,3,1,4,3,1,2
361,639.0,2,3,1,1,0.0,3,3,1,3,3,1,1
351,259.0,2,3,3,1,0.0,6,7,2,4,1,2,1
359,748.0,2,3,1,2,2.0,3,1,1,3,1,1,1
344,101.0,2,3,1,6,0.0,5,1,1,3,1,1,4
116,177.0,2,1,1,1,0.0,3,4,1,2,4,2,2
107,223.0,2,1,1,1,0.0,6,1,1,4,1,2,1
109,439.0,2,1,3,2,2.0,3,3,1,4,3,1,2
578,637.0,2,2,1,6,0.0,2,3,2,2,3,2,4
361,639.0,2,3,1,1,0.0,2,7,1,3,1,1,1
106,109.0,2,1,1,6,0.0,3,4,1,6,4,2,2
578,637.0,2,2,3,8,0.0,6,7,3,4,1,2,1
578,638.0,2,2,3,8,0.0,3,3,1,2,4,1,3
341,333.0,2,3,1,16,0.0,6,7,1,6,7,4,3
109,421.0,2,1,3,8,0.0,6,2,1,3,3,2,2
341,333.0,2,3,1,9,0.0,1,3,1,6,7,4,3
344,101.0,2,3,1,1,0.0,4,4,1,3,4,1,4
344,113.0,2,3,3,22,0.0,3,3,1,3,4,2,4
578,638.0,2,2,1,1,0.0,4,3,1,3,3,1,4
578,638.0,2,2,1,2,2.0,4,3,2,3,3,2,3
106,109.0,2,1,1,1,0.0,2,1,1,4,4,1,4
355,181.0,2,3,1,2,2.0,4,1,1,4,1,1,3
344,101.0,2,3,3,1,0.0,2,3,1,2,3,1,2
341,333.0,2,3,1,9,0.0,4,1,1,6,7,4,1
361,639.0,2,3,1,1,0.0,3,3,1,3,3,1,2
344,101.0,2,3,3,8,0.0,3,1,1,2,5,2,3
344,101.0,2,3,1,4,97.0,3,6,1,4,3,2,5
344,113.0,2,3,1,1,0.0,2,3,2,3,6,2,3
233,681.0,2,3,1,1,0.0,3,7,1,1,1,2,1
344,101.0,2,3,3,46,0.0,6,3,1,3,1,1,4
578,637.0,2,2,1,1,0.0,2,1,1,2,1,1,1
344,101.0,2,3,1,1,0.0,6,1,1,6,1,1,2
578,637.0,2,2,1,1,0.0,1,1,1,3,1,1,4
361,639.0,2,3,1,6,0.0,3,3,1,3,3,1,4
105,367.0,2,1,1,25,0.0,6,3,1,4,3,2,2
344,113.0,2,3,4,6,0.0,3,4,1,3,4,2,1
107,233.0,2,1,3,8,0.0,6,7,3,6,7,4,2
109,403.0,2,1,1,45,0.0,6,7,3,4,2,2,3
578,638.0,2,2,1,2,2.0,2,3,2,3,3,1,1
578,638.0,2,2,1,1,0.0,2,1,2,1,1,1,1
344,101.0,2,3,1,6,0.0,6,2,1,4,2,1,2
235,567.0,2,3,3,8,0.0,2,3,2,6,7,3,5
344,101.0,2,3,3,6,0.0,3,3,1,3,3,2,5
578,638.0,2,2,3,8,0.0,3,3,2,3,2,2,2
351,259.0,2,3,3,1,0.0,1,1,1,3,2,2,2
341,338.0,2,3,1,11,0.0,6,3,1,2,3,1,2
105,389.0,2,1,1,1,0.0,3,3,1,3,3,1,1
341,333.0,2,3,1,25,0.0,6,2,1,6,7,4,5
112,739.0,2,1,1,45,0.0,6,7,3,4,3,2,4
106,109.0,1,1,1,6,0.0,3,7,1,3,3,1,2
361,639.0,2,3,1,1,0.0,2,1,1,2,1,1,3
344,101.0,2,3,1,2,2.0,4,3,1,2,3,1,3
578,637.0,2,2,1,2,2.0,1,3,2,3,3,1,4
361,639.0,2,3,1,6,0.0,3,3,1,3,3,1,2
361,639.0,2,3,1,62,0.0,3,3,1,4,3,1,2
341,333.0,2,3,1,25,0.0,6,1,1,6,7,4,3
353,462.0,2,3,3,8,0.0,2,1,1,3,4,1,4
344,101.0,2,3,1,1,0.0,3,5,2,3,5,1,3
361,639.0,2,3,1,7,0.0,6,7,1,6,7,4,3
110,441.0,2,1,4,8,0.0,6,7,3,3,3,2,1
121,267.0,2,1,3,8,2.0,6,7,3,3,3,1,2
359,749.0,2,3,1,14,0.0,3,1,1,3,1,1,4
106,109.0,2,1,3,1,0.0,3,2,1,3,2,2,5
578,637.0,2,2,1,2,2.0,2,3,2,2,1,1,2
104,157.0,2,1,1,1,0.0,3,3,1,3,3,1,2
344,101.0,2,3,1,1,0.0,2,1,1,2,1,1,4
121,269.0,2,1,3,8,0.0,6,7,3,4,6,2,1
344,101.0,2,3,3,8,0.0,6,7,3,2,1,2,1
121,267.0,2,1,3,8,0.0,3,3,1,3,3,2,2
578,637.0,2,2,3,1,0.0,4,4,1,1,4,2,2
344,101.0,2,3,3,8,0.0,6,3,1,1,3,1,2
578,638.0,2,2,4,2,2.0,2,3,1,3,3,1,3
578,637.0,2,2,1,21,0.0,3,1,1,3,1,2,2
109,405.0,2,1,1,1,0.0,3,7,1,3,7,2,2
578,638.0,2,2,1,1,0.0,4,4,1,4,4,1,4
578,638.0,2,2,1,1,0.0,4,3,1,4,3,1,2
235,511.0,2,3,2,2,2.0,3,7,1,6,7,3,3
578,638.0,2,2,1,11,0.0,4,2,1,3,3,1,1
109,405.0,2,1,1,6,0.0,4,2,2,4,2,2,1
344,101.0,2,3,3,8,0.0,4,4,2,4,4,1,4
578,638.0,2,2,1,2,2.0,3,3,1,3,3,1,2
344,101.0,2,3,1,11,0.0,3,3,1,3,2,2,5
344,101.0,2,3,1,8,0.0,3,3,1,3,3,1,4
578,637.0,2,2,1,19,0.0,4,3,1,3,1,1,1
344,101.0,2,3,1,14,0.0,3,7,2,3,3,2,3
578,638.0,2,2,1,1,0.0,3,3,1,3,5,1,3
109,437.0,2,1,3,8,0.0,6,3,1,2,4,2,1
578,638.0,2,2,1,3,0.0,2,3,2,2,2,1,5
359,749.0,2,3,1,1,0.0,3,1,1,3,1,1,1
233,175.0,2,3,1,2,2.0,3,3,1,1,3,1,2
352,205.0,2,3,1,1,0.0,3,1,1,3,2,2,2
107,223.0,1,1,1,1,0.0,3,1,1,3,1,1,1
578,638.0,2,2,1,12,0.0,6,1,1,4,1,2,4
578,638.0,2,2,3,8,0.0,3,2,1,5,1,2,1
578,637.0,2,2,1,6,0.0,2,2,1,5,2,1,4
106,105.0,2,1,3,1,0.0,3,2,1,3,2,1,4
344,101.0,2,3,1,6,0.0,5,2,1,2,2,1,2
344,101.0,2,3,1,6,0.0,3,3,1,3,3,2,4
351,254.0,2,3,3,8,0.0,4,7,1,6,7,2,2
118,793.0,2,1,1,24,0.0,4,3,1,6,7,3,3
106,109.0,2,1,1,6,0.0,4,4,1,3,4,1,4
126,198.0,2,1,1,1,0.0,2,3,2,3,3,1,2
340,718.0,2,3,1,6,0.0,6,7,3,3,1,2,4
578,637.0,2,2,1,2,2.0,3,1,1,4,1,1,1
578,638.0,2,2,1,1,0.0,3,1,1,2,1,1,2
344,101.0,2,3,2,8,0.0,6,3,3,3,2,2,2
351,258.0,2,3,3,14,0.0,6,7,3,6,7,4,5
578,638.0,2,2,1,6,0.0,3,3,1,5,3,1,5
578,638.0,2,2,1,1,0.0,6,3,1,3,3,2,2
109,433.0,2,1,1,23,0.0,3,3,1,6,7,4,3
341,349.0,2,3,3,8,0.0,6,7,3,3,4,2,4
344,101.0,2,3,1,6,0.0,3,2,1,3,2,1,4
361,639.0,2,3,1,6,0.0,2,2,1,2,2,1,5
578,638.0,2,2,1,1,0.0,6,3,2,4,4,1,4
344,101.0,2,3,3,26,0.0,6,3,1,3,3,1,2
105,397.0,2,1,4,6,0.0,3,7,1,4,1,2,4
351,259.0,2,3,1,17,0.0,3,3,1,6,7,4,3
578,638.0,2,2,1,1,0.0,3,3,2,3,3,2,1
341,333.0,2,3,1,12,0.0,6,7,3,6,7,4,3
578,638.0,2,2,3,8,0.0,3,1,1,3,4,2,1
116,177.0,2,1,1,1,0.0,4,5,1,1,5,1,5
107,231.0,2,1,3,8,0.0,6,7,3,6,7,4,2
106,109.0,2,1,3,8,0.0,6,7,3,1,3,2,1
344,101.0,2,3,1,1,0.0,6,7,1,3,1,1,1
235,567.0,2,3,4,2,2.0,3,3,1,6,7,3,2
106,109.0,2,1,1,6,0.0,3,3,1,2,3,1,2
361,639.0,2,3,1,1,0.0,3,2,1,3,2,1,3
578,638.0,2,2,1,19,0.0,2,3,2,3,3,1,2
351,271.0,2,3,3,22,0.0,2,3,1,6,7,3,2
233,175.0,2,3,1,8,0.0,3,2,1,6,7,2,2
235,511.0,2,3,3,8,0.0,3,2,1,6,7,3,2
235,567.0,2,3,3,6,0.0,2,3,1,6,7,3,2
578,637.0,2,2,1,1,0.0,3,3,1,3,3,1,2
578,637.0,2,2,1,6,0.0,3,3,1,4,4,1,2
344,101.0,2,3,1,6,0.0,4,3,2,1,3,1,4
341,333.0,2,3,1,9,0.0,3,2,2,6,7,4,2
578,638.0,2,2,3,1,0.0,3,1,1,4,4,1,1
344,101.0,2,3,1,6,0.0,2,1,1,2,1,1,5
344,101.0,2,3,1,6,0.0,3,3,1,2,3,1,4
235,567.0,2,3,1,2,2.0,4,3,1,6,7,3,1
344,113.0,2,3,1,1,0.0,3,3,1,3,1,1,4
578,638.0,2,2,1,2,2.0,2,3,2,2,1,1,3
343,478.0,2,3,3,8,0.0,3,3,1,6,7,4,2
344,101.0,2,3,1,2,2.0,3,3,2,3,3,2,1
341,333.0,2,3,1,16,0.0,4,3,1,6,7,4,3
109,409.0,2,1,1,11,0.0,6,1,1,3,1,1,4
578,638.0,2,2,3,8,0.0,6,7,3,3,1,1,1
341,338.0,2,3,1,4,14.0,3,1,1,3,1,1,1
344,101.0,2,3,1,2,2.0,2,3,1,6,7,1,2
361,639.0,2,3,3,2,2.0,3,3,2,3,3,1,2
578,637.0,2,2,1,25,0.0,6,7,3,1,1,2,4
341,357.0,2,3,3,8,0.0,6,1,1,3,3,1,1
109,407.0,2,1,1,17,0.0,3,5,1,6,7,4,2
235,511.0,2,3,2,2,2.0,4,3,1,6,7,3,3
341,338.0,2,3,1,2,2.0,6,7,3,4,2,2,1
361,639.0,2,3,1,1,0.0,4,3,1,3,3,1,1
578,637.0,2,2,1,6,0.0,3,5,1,3,5,1,1
351,259.0,2,3,1,1,0.0,1,7,1,3,3,1,2
233,175.0,2,3,1,1,0.0,2,1,1,1,3,1,1
344,101.0,2,3,3,8,0.0,6,7,3,2,1,1,2
121,267.0,2,1,2,8,0.0,6,7,3,3,2,1,4
578,638.0,2,2,3,6,0.0,6,3,1,3,2,1,2
578,637.0,2,2,3,8,0.0,6,3,2,4,3,2,2
235,511.0,2,3,3,1,0.0,1,5,1,6,7,3,1
361,639.0,2,3,1,1,0.0,4,2,2,4,2,2,4
107,214.0,2,1,1,1,0.0,6,7,3,6,7,4,1
341,338.0,2,3,1,6,0.0,2,2,2,4,2,1,5
235,567.0,2,3,1,2,2.0,2,3,1,6,7,3,2
105,386.0,2,1,3,8,0.0,2,3,1,2,3,1,2
105,394.0,2,1,1,8,0.0,6,3,2,3,4,2,1
578,638.0,2,2,3,6,0.0,3,3,1,4,3,1,5
361,639.0,2,3,1,1,0.0,6,3,1,3,3,1,1
361,639.0,2,3,1,4,0.0,1,3,2,6,3,1,2
361,639.0,2,3,1,6,0.0,4,1,2,5,7,1,1
341,338.0,2,3,1,9,0.0,2,1,2,3,1,2,2
578,638.0,2,2,1,6,0.0,3,1,2,2,1,1,4
578,637.0,2,2,1,13,0.0,3,3,1,2,2,2,4
344,101.0,2,3,3,8,0.0,2,2,1,3,1,2,2
344,101.0,2,3,3,8,0.0,4,3,1,4,2,1,5
365,878.0,2,3,1,1,0.0,4,3,1,3,3,1,2
578,638.0,2,2,1,1,0.0,3,2,1,2,2,1,3
109,437.0,2,1,1,1,0.0,6,7,1,3,4,1,4
126,198.0,2,1,3,8,0.0,3,3,2,2,3,2,4
578,637.0,2,2,1,4,0.0,4,3,1,3,2,1,4
352,205.0,2,3,4,2,2.0,3,1,1,6,7,3,2
361,639.0,2,3,1,1,0.0,6,7,3,3,1,2,4
341,333.0,2,3,1,9,0.0,3,2,1,6,7,4,3
121,269.0,2,1,1,1,0.0,4,1,1,3,5,1,1
104,157.0,2,1,1,23,0.0,3,1,1,1,1,1,3
344,101.0,2,3,1,19,0.0,1,7,1,1,1,1,1
578,638.0,2,2,1,6,0.0,3,2,1,5,2,1,5
578,638.0,2,2,3,8,0.0,3,1,1,4,2,2,3
341,333.0,2,3,1,9,0.0,3,3,1,6,7,4,2
578,637.0,2,2,1,2,2.0,2,5,1,1,1,1,3
344,101.0,2,3,3,8,0.0,3,3,1,4,3,2,4
344,101.0,2,3,1,1,0.0,4,5,2,1,5,2,2
578,637.0,2,2,1,7,0.0,6,7,3,4,2,1,1
344,101.0,2,3,1,1,0.0,3,1,1,2,1,1,1
361,639.0,2,3,1,1,0.0,4,1,1,3,1,1,1
344,101.0,2,3,3,8,0.0,3,3,1,3,1,1,2
361,639.0,2,3,1,2,2.0,3,3,1,2,3,1,3
352,205.0,2,3,1,1,0.0,4,1,1,4,2,1,2
578,638.0,2,2,1,6,0.0,4,2,1,4,2,1,5
578,637.0,2,2,1,2,2.0,2,3,1,3,5,1,2
126,198.0,2,1,1,2,2.0,3,3,1,2,3,1,2
109,409.0,1,1,1,17,0.0,6,7,3,3,2,1,3
235,511.0,2,3,1,2,2.0,3,1,1,6,7,3,1
233,170.0,2,3,1,1,0.0,2,3,1,1,3,1,2
118,793.0,2,1,3,8,0.0,3,1,1,6,7,3,1
578,638.0,2,2,1,12,0.0,2,5,1,3,3,2,3
578,638.0,2,2,1,1,0.0,4,1,1,4,3,1,3
126,198.0,2,1,1,17,0.0,3,1,1,2,1,1,4
344,113.0,2,3,1,1,0.0,3,3,1,3,1,1,2
351,254.0,2,3,3,8,0.0,6,7,3,3,2,2,2
578,638.0,2,2,3,8,0.0,6,7,3,3,5,1,1
106,109.0,2,1,1,1,0.0,3,3,1,2,3,2,2
341,338.0,2,3,1,22,0.0,2,3,1,6,7,4,3
341,313.0,2,3,1,1,0.0,6,7,3,5,1,1,3
341,321.0,2,3,3,6,0.0,6,7,1,3,2,1,4
341,321.0,2,3,3,27,0.0,6,1,2,3,2,1,4
351,259.0,2,3,1,2,2.0,6,7,3,4,3,1,2
361,639.0,2,3,1,1,0.0,2,1,2,3,1,2,1
112,739.0,2,1,1,1,0.0,6,5,1,4,5,2,3
361,639.0,2,3,1,1,0.0,2,2,1,3,5,1,3
578,638.0,2,2,3,8,0.0,3,3,1,3,3,1,2
344,113.0,2,3,1,36,0.0,4,2,1,4,3,2,4
578,637.0,2,2,1,19,0.0,6,7,3,1,2,1,5
341,339.0,2,3,3,6,0.0,6,2,1,3,4,2,4
344,101.0,2,3,1,6,0.0,4,3,2,3,1,1,4
578,638.0,2,2,1,1,0.0,4,3,2,5,3,1,2
344,101.0,2,3,1,1,0.0,2,1,1,3,1,1,2
344,101.0,2,3,1,1,0.0,3,7,1,3,1,1,1
578,638.0,2,2,1,1,0.0,4,3,2,3,7,1,2
359,748.0,2,3,1,6,0.0,3,3,2,4,3,1,1
344,101.0,2,3,3,2,2.0,3,3,1,3,1,1,3
361,639.0,2,3,1,2,2.0,4,1,1,3,1,2,3
116,596.0,2,1,1,57,3.0,2,3,1,6,7,3,3
353,462.0,2,3,1,1,0.0,3,3,1,3,2,1,5
